
Episode 400 finished after 910 time steps with total reward = -9765.00, explorations = 370, exploitations = 377, last epsilon used = 0.723856864037602.
Episode 500 finished after 672 time steps with total reward = -9765.00, explorations = 213, exploitations = 360, last epsilon used = 0.662850610905674.
Episode 600 finished after 542 time steps with total reward = -9754.00, explorations = 156, exploitations = 329, last epsilon used = 0.6063789448611848.
Episode 700 finished after 453 time steps with total reward = -9765.00, explorations = 122, exploitations = 292, last epsilon used = 0.5676313011014509.
Episode 800 finished after 495 time steps with total reward = -9758.00, explorations = 117, exploitations = 340, last epsilon used = 0.5208327961165404.
Episode 900 finished after 463 time steps with total reward = -9763.00, explorations = 100, exploitations = 329, last epsilon used = 0.47884982641548285.
Episode 0 finished after 1115 time steps with total reward = -9772.00, explorations = 680, exploitations = 276, last epsilon used = 1.
Episode 100 finished after 803 time steps with total reward = -9778.00, explorations = 384, exploitations = 303, last epsilon used = 0.9184732224159486.
Episode 200 finished after 513 time steps with total reward = -9767.00, explorations = 158, exploitations = 304, last epsilon used = 0.8410648110498392.
Episode 300 finished after 354 time steps with total reward = -9767.00, explorations = 64, exploitations = 266, last epsilon used = 0.7740428188605086.
Episode 400 finished after 435 time steps with total reward = -9764.00, explorations = 97, exploitations = 303, last epsilon used = 0.7202448110511043.
Episode 500 finished after 368 time steps with total reward = -9763.00, explorations = 65, exploitations = 287, last epsilon used = 0.6735469118288684.
Episode 600 finished after 387 time steps with total reward = -9758.00, explorations = 57, exploitations = 305, last epsilon used = 0.6229826200436561.
Episode 700 finished after 85 time steps with total reward = -9939.00, explorations = 5, exploitations = 74, last epsilon used = 0.05.
Episode 800 finished after 351 time steps with total reward = -9753.00, explorations = 50, exploitations = 291, last epsilon used = 0.5271236049243919.
Episode 900 finished after 332 time steps with total reward = -9762.00, explorations = 30, exploitations = 285, last epsilon used = 0.48511866824423777.
Episode 0 finished after 782 time steps with total reward = -9771.00, explorations = 442, exploitations = 263, last epsilon used = 1.
Episode 100 finished after 326 time steps with total reward = -9767.00, explorations = 28, exploitations = 274, last epsilon used = 0.9129761418240965.
Episode 200 finished after 231 time steps with total reward = -9837.00, explorations = 17, exploitations = 194, last epsilon used = 0.05.
Episode 300 finished after 194 time steps with total reward = -9836.00, explorations = 2, exploitations = 185, last epsilon used = 0.05.
Episode 400 finished after 341 time steps with total reward = -9753.00, explorations = 61, exploitations = 270, last epsilon used = 0.7496535623221505.
Episode 500 finished after 198 time steps with total reward = -9838.00, explorations = 9, exploitations = 183, last epsilon used = 0.05.
Episode 600 finished after 201 time steps with total reward = -9833.00, explorations = 7, exploitations = 190, last epsilon used = 0.05.
Episode 700 finished after 380 time steps with total reward = -9767.00, explorations = 59, exploitations = 305, last epsilon used = 0.6789596158607596.
Episode 800 finished after 407 time steps with total reward = -9760.00, explorations = 49, exploitations = 331, last epsilon used = 0.6695157201007336.
Episode 900 finished after 308 time steps with total reward = -9768.00, explorations = 20, exploitations = 277, last epsilon used = 0.6621877602947683.
Episode 0 finished after 224 time steps with total reward = -9848.00, explorations = 11, exploitations = 203, last epsilon used = 0.05.
Episode 100 finished after 1311 time steps with total reward = -9789.00, explorations = 819, exploitations = 296, last epsilon used = 0.9417362622231683.
